medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code
Bronze Medal,3,2024-07-28,Larissa PIMENTA,BRA,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/repf000100--,1953817
Bronze Medal,3,2024-07-28,Amandine BUCHARD,FRA,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/repf000200--,1891283
Gold Medal,1,2024-07-28,XIE Yu,CHN,M,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,1913907
Silver Medal,2,2024-07-28,Federico Nilo MALDINI,ITA,M,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,1551388
Bronze Medal,3,2024-07-28,Paolo MONNA,ITA,M,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,1551387
Gold Medal,1,2024-07-28,OH Ye Jin,KOR,W,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,1893972
Silver Medal,2,2024-07-28,KIM Yeji,KOR,W,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,1893930
Bronze Medal,3,2024-07-28,Manu BHAKER,IND,W,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,1538159
Gold Medal,1,2024-07-28,YOSHIZAWA Coco,JPN,W,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,1902055
Silver Medal,2,2024-07-28,AKAMA Liz,JPN,W,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,1902069
Bronze Medal,3,2024-07-28,Rayssa LEAL,BRA,W,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,1955689
Gold Medal,1,2024-07-28,Nicolo MARTINENGHI,ITA,M,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1925633
Silver Medal,2,2024-07-28,Adam PEATY,GBR,M,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1956469
Silver Medal,2,2024-07-28,Nic FINK,USA,M,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1935901
Gold Medal,1,2024-07-28,Leon MARCHAND,FRA,M,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,1909294
Silver Medal,2,2024-07-28,MATSUSHITA Tomoyuki,JPN,M,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,1963635
Bronze Medal,3,2024-07-28,Carson FOSTER,USA,M,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,1935903
Gold Medal,1,2024-07-28,Torri HUSKE,USA,W,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,1935923
Silver Medal,2,2024-07-28,Gretchen WALSH,USA,W,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,1935998
Bronze Medal,3,2024-07-28,ZHANG Yufei,CHN,W,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,1945125
