insee_code,city_code,zip_code,label,latitude,longitude,department_name,department_number,region_name,region_geojson_name
18031,blet,18350,blet,46.8820725,2.731528987,cher,18,"centre-val de loire","Centre-Val de Loire"
45107,coudroy,45260,coudroy,47.904699979,2.47450099,loiret,45,"centre-val de loire","Centre-Val de Loire"
41115,lignieres,41160,lignieres,47.863261467,1.193316682,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18035,brecy,18220,brecy,47.130105093,2.630665083,cher,18,"centre-val de loire","Centre-Val de Loire"
45116,cravant,45190,cravant,47.833649466,1.58122521,loiret,45,"centre-val de loire","Centre-Val de Loire"
41116,lisle,41100,lisle,47.868435442,1.107289077,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18040,bussy,18130,bussy,46.89673369,2.620675363,cher,18,"centre-val de loire","Centre-Val de Loire"
45119,dadonville,45300,dadonville,48.152696042,2.268694695,loiret,45,"centre-val de loire","Centre-Val de Loire"
41118,loreux,41200,loreux,47.403375313,1.843100197,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18048,"la chapelle hugon",18150,"la chapelle hugon",46.89547358,2.95397876,cher,18,"centre-val de loire","Centre-Val de Loire"
45134,"epieds en beauce",45130,"epieds en beauce",47.96253865,1.604230028,loiret,45,"centre-val de loire","Centre-Val de Loire"
41119,lorges,41370,lorges,47.821038373,1.499024467,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18050,"la chapelle st ursin",18570,"la chapelle st ursin",47.058196272,2.31906042,cher,18,"centre-val de loire","Centre-Val de Loire"
45136,ervauville,45320,ervauville,48.094424972,2.982941664,loiret,45,"centre-val de loire","Centre-Val de Loire"
41123,marchenoir,41370,marchenoir,47.833972195,1.410340629,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18065,"chezal benoit",18160,"chezal benoit",46.832041064,2.110980782,cher,18,"centre-val de loire","Centre-Val de Loire"
45145,"ferrieres en gatinais",45210,"ferrieres en gatinais",48.105425583,2.804359017,loiret,45,"centre-val de loire","Centre-Val de Loire"
41125,"marcilly en gault",41210,"marcilly en gault",47.462370235,1.871214314,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18066,civray,18290,civray,46.973596645,2.185369425,cher,18,"centre-val de loire","Centre-Val de Loire"
45155,gien,45500,gien,47.712154408,2.66524941,loiret,45,"centre-val de loire","Centre-Val de Loire"
41136,mer,41500,mer,47.713050286,1.504393627,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18072,cornusse,18350,cornusse,46.956183381,2.733107263,cher,18,"centre-val de loire","Centre-Val de Loire"
45159,grangermont,45390,grangermont,48.18804315,2.428678568,loiret,45,"centre-val de loire","Centre-Val de Loire"
41140,millancay,41200,millancay,47.450675082,1.7803979330000002,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18083,culan,18270,culan,46.545376439,2.355177436,cher,18,"centre-val de loire","Centre-Val de Loire"
45168,ingrannes,45450,ingrannes,47.993983153,2.224690227,loiret,45,"centre-val de loire","Centre-Val de Loire"
18088,ennordres,18380,ennordres,47.422798915,2.41040032,cher,18,"centre-val de loire","Centre-Val de Loire"
45177,laas,45300,laas,48.121000825,2.21805463,loiret,45,"centre-val de loire","Centre-Val de Loire"
41144,monteaux,41150,monteaux,47.485684793,1.1053287,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18109,henrichemont,18250,henrichemont,47.298672041,2.537013995,cher,18,"centre-val de loire","Centre-Val de Loire"
45191,"le malesherbois",45330,"le malesherbois",48.277596537,2.351944562,loiret,45,"centre-val de loire","Centre-Val de Loire"
41145,"monthou sur bievre",41120,"monthou sur bievre",47.462151135,1.270827334,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18112,"ids st roch",18170,"ids st roch",46.714065016,2.257440317,cher,18,"centre-val de loire","Centre-Val de Loire"
18117,jars,18260,jars,47.393770799,2.633200973,cher,18,"centre-val de loire","Centre-Val de Loire"
45194,mardie,45430,mardie,47.89713505,2.068944824,loiret,45,"centre-val de loire","Centre-Val de Loire"
41153,montrouveau,41800,montrouveau,47.705986994,0.71386377,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18118,"jouet sur l aubois",18320,"jouet sur l aubois",47.045106138,3.003324743,cher,18,"centre-val de loire","Centre-Val de Loire"
45197,"marigny les usages",45760,"marigny les usages",47.958736943,2.013483689,loiret,45,"centre-val de loire","Centre-Val de Loire"
41155,"muides sur loire",41500,"muides sur loire",47.665150811,1.533312622,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18119,"jussy champagne",18130,"jussy champagne",46.990900162,2.645818244,cher,18,"centre-val de loire","Centre-Val de Loire"
45198,marsainvilliers,45300,marsainvilliers,48.213208786,2.271388528,loiret,45,"centre-val de loire","Centre-Val de Loire"
41160,neuvy,41250,neuvy,47.568377394,1.58670222,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18120,"jussy le chaudrier",18140,"jussy le chaudrier",47.120785501,2.943815431,cher,18,"centre-val de loire","Centre-Val de Loire"
45201,merinville,45210,merinville,48.090346276,2.941377185,loiret,45,"centre-val de loire","Centre-Val de Loire"
41167,"veuzain sur loire",41150,"veuzain sur loire",47.505148666,1.157326965,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18124,lazenay,18120,lazenay,47.067360445,2.076610252,cher,18,"centre-val de loire","Centre-Val de Loire"
45205,"mezieres en gatinais",45270,"mezieres en gatinais",48.024967824,2.482832405,loiret,45,"centre-val de loire","Centre-Val de Loire"
41168,orcay,41300,orcay,47.305192234,2.121808358,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18126,levet,18340,levet,46.930260009,2.393013262,cher,18,"centre-val de loire","Centre-Val de Loire"
45215,montliard,45340,montliard,48.018247626,2.400060261,loiret,45,"centre-val de loire","Centre-Val de Loire"
18129,"lissay lochy",18340,"lissay lochy",46.974087051,2.38706504,cher,18,"centre-val de loire","Centre-Val de Loire"
45216,"mormant sur vernisson",45700,"mormant sur vernisson",47.941842983,2.729824763,loiret,45,"centre-val de loire","Centre-Val de Loire"
41174,perigny,41100,perigny,47.751189366,1.150549026,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18141,"mehun sur yevre",18500,"mehun sur yevre",47.13591105,2.220734608,cher,18,"centre-val de loire","Centre-Val de Loire"
45218,"le moulinet sur solin",45290,"le moulinet sur solin",47.817081131,2.610508133,loiret,45,"centre-val de loire","Centre-Val de Loire"
41188,rhodon,41290,rhodon,47.753973737,1.26574775,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18142,meillant,18200,meillant,46.781013764,2.506733679,cher,18,"centre-val de loire","Centre-Val de Loire"
45219,moulon,45270,moulon,48.018724077,2.595525423,loiret,45,"centre-val de loire","Centre-Val de Loire"
41193,romilly,41270,romilly,47.951559696,1.02540904,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18146,"menetreol sous sancerre",18300,"menetreol sous sancerre",47.318132649,2.865836559,cher,18,"centre-val de loire","Centre-Val de Loire"
45230,noyers,45260,noyers,47.909414281,2.535838752,loiret,45,"centre-val de loire","Centre-Val de Loire"
41194,"romorantin lanthenay",41200,"romorantin lanthenay",47.374759044,1.744332737,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18149,"mery es bois",18380,"mery es bois",47.308675601,2.3787902,cher,18,"centre-val de loire","Centre-Val de Loire"
45232,olivet,45160,olivet,47.854817345,1.888838745,loiret,45,"centre-val de loire","Centre-Val de Loire"
41209,"st firmin des pres",41100,"st firmin des pres",47.844917713,1.101061441,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18156,morogues,18220,morogues,47.257744432,2.595658968,cher,18,"centre-val de loire","Centre-Val de Loire"
45244,"ouzouer sur loire",45570,"ouzouer sur loire",47.784490082,2.477036762,loiret,45,"centre-val de loire","Centre-Val de Loire"
41222,"st loup",41320,"st loup",47.255761168,1.824486713,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18161,"neuilly en dun",18600,"neuilly en dun",46.802224459,2.782888033,cher,18,"centre-val de loire","Centre-Val de Loire"
45245,"ouzouer sur trezee",45250,"ouzouer sur trezee",47.675556353,2.81022742,loiret,45,"centre-val de loire","Centre-Val de Loire"
41225,"st martin des bois",41800,"st martin des bois",47.725221812,0.8247501450000001,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18166,"nohant en gout",18390,"nohant en gout",47.090133443,2.580594115,cher,18,"centre-val de loire","Centre-Val de Loire"
45246,pannecieres,45300,pannecieres,48.29356383,2.143228321,loiret,45,"centre-val de loire","Centre-Val de Loire"
41226,"st ouen",41100,"st ouen",47.82801806,1.070993493,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18174,osmoy,18390,osmoy,47.063249197,2.505856318,cher,18,"centre-val de loire","Centre-Val de Loire"
45250,"pers en gatinais",45210,"pers en gatinais",48.117142398,2.905727073,loiret,45,"centre-val de loire","Centre-Val de Loire"
41228,"st rimay",41800,"st rimay",47.769904176,0.915760712,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18178,"la perche",18200,"la perche",46.632838771,2.574145686,cher,18,"centre-val de loire","Centre-Val de Loire"
45257,"pressigny les pins",45290,"pressigny les pins",47.877502564,2.761661344,loiret,45,"centre-val de loire","Centre-Val de Loire"
41229,"st romain sur cher",41140,"st romain sur cher",47.318832223,1.386605605,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18179,pigny,18110,pigny,47.163569855,2.443789231,cher,18,"centre-val de loire","Centre-Val de Loire"
45260,ramoulu,45300,ramoulu,48.229068527,2.3055572250000003,loiret,45,"centre-val de loire","Centre-Val de Loire"
41231,"st viatre",41210,"st viatre",47.5147775,1.933509162,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18181,plou,18290,plou,47.031814294,2.148412916,cher,18,"centre-val de loire","Centre-Val de Loire"
45261,rebrechien,45470,rebrechien,47.993782289,2.024164088,loiret,45,"centre-val de loire","Centre-Val de Loire"
41232,salbris,41300,salbris,47.413260376,2.044918535,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18182,poisieux,18290,poisieux,47.031860199,2.089370917,cher,18,"centre-val de loire","Centre-Val de Loire"
45268,"st aignan le jaillard",45600,"st aignan le jaillard",47.733049011,2.422647802,loiret,45,"centre-val de loire","Centre-Val de Loire"
41234,santenay,41190,santenay,47.565524162,1.101614121,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18193,rezay,18170,rezay,46.672687356,2.174904113,cher,18,"centre-val de loire","Centre-Val de Loire"
45285,"st jean de la ruelle",45140,"st jean de la ruelle",47.911831045,1.871132178,loiret,45,"centre-val de loire","Centre-Val de Loire"
41235,"sarge sur braye",41170,"sarge sur braye",47.928292231,0.86406503,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18206,"st eloy de gy",18110,"st eloy de gy",47.169709071,2.330638592,cher,18,"centre-val de loire","Centre-Val de Loire"
45288,"st loup des vignes",45340,"st loup des vignes",48.041303753,2.4277201120000003,loiret,45,"centre-val de loire","Centre-Val de Loire"
41237,sassay,41700,sassay,47.392839939,1.446260732,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18210,"st georges sur la pree",18100,"st georges sur la pree",47.220067466,1.949439518,cher,18,"centre-val de loire","Centre-Val de Loire"
45290,"st martin d abbat",45110,"st martin d abbat",47.881209268,2.305260715,loiret,45,"centre-val de loire","Centre-Val de Loire"
41238,"savigny sur braye",41360,"savigny sur braye",47.869933952,0.831353902,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18215,"st hilaire de gondilly",18350,"st hilaire de gondilly",47.023191614,2.902608259,cher,18,"centre-val de loire","Centre-Val de Loire"
45292,"st maurice sur aveyron",45230,"st maurice sur aveyron",47.846712404,2.960594017,loiret,45,"centre-val de loire","Centre-Val de Loire"
41247,"soings en sologne",41230,"soings en sologne",47.411406127,1.528294222,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
45297,"st pere sur loire",45600,"st pere sur loire",47.780194883,2.37293899,loiret,45,"centre-val de loire","Centre-Val de Loire"
18217,"st jeanvrin",18370,"st jeanvrin",46.596362385,2.242277055,cher,18,"centre-val de loire","Centre-Val de Loire"
45302,saran,45770,saran,47.949642805,1.877999033,loiret,45,"centre-val de loire","Centre-Val de Loire"
41251,"souvigny en sologne",41600,"souvigny en sologne",47.649640946,2.167596561,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18224,"st martin des champs",18140,"st martin des champs",47.173340219,2.934982474,cher,18,"centre-val de loire","Centre-Val de Loire"
45305,seichebrieres,45530,seichebrieres,47.981969932,2.274675929,loiret,45,"centre-val de loire","Centre-Val de Loire"
41265,troo,41800,troo,47.788975235,0.778616109,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18227,"ste montaine",18700,"ste montaine",47.501499254,2.321586651,cher,18,"centre-val de loire","Centre-Val de Loire"
45307,"la selle sur le bied",45210,"la selle sur le bied",48.073570289,2.896298976,loiret,45,"centre-val de loire","Centre-Val de Loire"
41267,"vallieres les grandes",41400,"vallieres les grandes",47.410953891,1.147526653,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18230,"st pierre les bois",18170,"st pierre les bois",46.671947442,2.283600581,cher,18,"centre-val de loire","Centre-Val de Loire"
45313,sougy,45410,sougy,48.058235517,1.801485542,loiret,45,"centre-val de loire","Centre-Val de Loire"
41273,"vievy le raye",41290,"vievy le raye",47.871860562,1.297968296,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18231,"st pierre les etieux",18210,"st pierre les etieux",46.734455752,2.593387934,cher,18,"centre-val de loire","Centre-Val de Loire"
45314,"sully la chapelle",45450,"sully la chapelle",47.983769251,2.168846088,loiret,45,"centre-val de loire","Centre-Val de Loire"
41279,"villedieu le chateau",41800,"villedieu le chateau",47.714394358,0.640273186,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18232,"st priest la marche",18370,"st priest la marche",46.448777157,2.184667668,cher,18,"centre-val de loire","Centre-Val de Loire"
45323,thou,45420,thou,47.580367936,2.896209965,loiret,45,"centre-val de loire","Centre-Val de Loire"
41281,villefrancoeur,41330,villefrancoeur,47.696559713,1.203072188,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18236,"st symphorien",18190,"st symphorien",46.808060472,2.304475649,cher,18,"centre-val de loire","Centre-Val de Loire"
45327,trainou,45470,trainou,47.965432411,2.103743218,loiret,45,"centre-val de loire","Centre-Val de Loire"
41286,villeporcher,41310,villeporcher,47.644552375,0.986126732,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18237,"ste thorette",18500,"ste thorette",47.077858385,2.206744437,cher,18,"centre-val de loire","Centre-Val de Loire"
45330,trinay,45410,trinay,48.084261842,1.952583705,loiret,45,"centre-val de loire","Centre-Val de Loire"
41288,villerbon,41000,villerbon,47.664296274,1.356910588,loir-et-cher,41,"centre-val de loire","Centre-Val de Loire"
18242,sancoins,18600,sancoins,46.82453929,2.913807751,cher,18,"centre-val de loire","Centre-Val de Loire"
45332,"varennes changy",45290,"varennes changy",47.862346698,2.663648994,loiret,45,"centre-val de loire","Centre-Val de Loire"
18243,santranges,18240,santranges,47.502576755,2.7593206290000003,cher,18,"centre-val de loire","Centre-Val de Loire"
45339,villemoutiers,45270,villemoutiers,47.989968988,2.5598741780000003,loiret,45,"centre-val de loire","Centre-Val de Loire"
18249,"sens beaujeu",18300,"sens beaujeu",47.334233284,2.688300506,cher,18,"centre-val de loire","Centre-Val de Loire"
45347,vrigny,45300,vrigny,48.074166413,2.247410617,loiret,45,"centre-val de loire","Centre-Val de Loire"
18250,serruelles,18190,serruelles,46.882013007,2.37997186,cher,18,"centre-val de loire","Centre-Val de Loire"
18251,sevry,18140,sevry,47.138353477,2.823576401,cher,18,"centre-val de loire","Centre-Val de Loire"
18253,soulangis,18220,soulangis,47.180031452,2.515422804,cher,18,"centre-val de loire","Centre-Val de Loire"
18258,"sury en vaux",18300,"sury en vaux",47.371833774,2.803173909,cher,18,"centre-val de loire","Centre-Val de Loire"
18264,thou,18260,thou,47.422266201,2.671664367,cher,18,"centre-val de loire","Centre-Val de Loire"
18265,torteron,18320,torteron,47.009464673,2.983310875,cher,18,"centre-val de loire","Centre-Val de Loire"
